tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
5757,58,0.0,2.0,0.0,@SouthwestAir we fly out of Houston on Saturday with Hurricane Harvey set to hit. Is there a way to fly out earlier?,2017-08-22 19:47:00,2017-8-22
14634,147,3.0,0.0,0.0,Two impending flood threats to U.S. -- One from #92L in Florida and what should become hurricane #Harvey for Texas.pic.twitter.com/zYzWjKc1MX,2017-08-22 05:28:00,2017-8-22
19973,200,0.0,0.0,0.0,@cityofcc Tell us about the hurricane - #harvey,2017-08-22 22:19:00,2017-8-22
27704,278,5.0,1.0,1.0,Flying back to Texas today. Just in time for potential hurricane Harvey. Or could be a bust like Cindy.  planning evacuation plan haha,2017-08-22 18:09:00,2017-8-22
30119,302,1.0,0.0,0.0,His name is Hurricane Harvey.,2017-08-22 07:31:00,2017-8-22
38854,389,1.0,0.0,1.0,Time to turn our attention from the eclipse to the Gulf. Tropical Storm or Hurricane Harvey will soon be here.... http://fb.me/Cj2MRtwZ ,2017-08-22 19:38:00,2017-8-22
39344,394,0.0,0.0,0.0,"By Saturday, hurricane harvey will hit Cancun with a supermodel.",2017-08-22 22:46:00,2017-8-22
42169,422,4.0,1.0,1.0,Hurricane Harvey has a nice ring to it for a first hurricane chase  not packing my bags yet!,2017-08-22 15:04:00,2017-8-22
56227,563,0.0,0.0,0.0,NAM 12km showing Hurricane #Harvey making its way towards the TX/LA border in next 3 1/2 days. Still has chance to move east.pic.twitter.com/fEinuESOIm,2017-08-22 09:17:00,2017-8-22
62045,621,1.0,1.0,0.0,"@MargaretOrr, assuming hurricane Harvey basically died, if it redevelops why wouldn't it be given a new name instead of Harvey again?",2017-08-22 21:52:00,2017-8-22
73690,737,4.0,1.0,0.0,Possible TS or Hurricane Harvey will make landfall on the Texas coast Friday. Beeville will likely get hit. Reason to not leave til Sunday.,2017-08-22 21:21:00,2017-8-22
74853,749,6.0,0.0,6.0,"The time is NOW to start preparing along the TX coastline for possible ""Hurricane Harvey"" by the end of the week..
http://www.weatheroptics.net/top-stories/harvey-to-regenerate-and-threaten-texas-by-end-of-the-week pic.twitter.com/O0zH2OdRcn",2017-08-22 16:46:00,2017-8-22
78728,788,4.0,0.0,9.0,Could be Hurricane Harvey by late Friday and Saturday early. This system could give us some heavy rain/isolated tornadoes early next week. pic.twitter.com/RqVUOSyylv,2017-08-22 23:12:00,2017-8-22
89151,892,1.0,0.0,0.0,At least he didn't say MAJOR hurricane. #Harvey #houwx,2017-08-22 20:13:00,2017-8-22
90352,904,3.0,1.0,0.0,Gonna be so many jokes on Twitter-dot-com if Hurricane Harvey makes a turn for SEC territory. https://twitter.com/aldotcom/status/900060281702932480 ,2017-08-22 18:24:00,2017-8-22
94942,950,1.0,0.0,1.0,#hurricane #harvey #herewegoagainhttps://twitter.com/Dave_Nussbaum/status/900030553625436160 ,2017-08-22 18:28:00,2017-8-22
96968,970,0.0,0.0,0.0,I spoke with the media on how Precinct 4 is preparing for the possible arrival of Hurricane Harvey. A real... http://fb.me/AiAiwiqZ ,2017-08-22 22:36:00,2017-8-22
98225,983,0.0,0.0,0.0,HURRICANE HARVEY MAY COME BACK https://twitter.com/NHC_Atlantic/status/899785259499311104 ,2017-08-22 00:10:00,2017-8-22
98642,987,1.0,0.0,0.0,Could be Hurricane Harvey by late Friday and into Saturday early.  This system could give us some heavy rain and... http://fb.me/6nbqxNmbw ,2017-08-22 23:10:00,2017-8-22
106271,1063,0.0,0.0,1.0,"SE TX to LA watching for potential Hurricane Harvey. For now just , but pay attention once back over the GOM. pic.twitter.com/WtF6el1nbB",2017-08-22 12:52:00,2017-8-22
110484,1105,48.0,3.0,27.0,"This tropical wave/storm/hurricane Harvey better pull a Steve Harvey and say ""sike"" before it hits Corpus pic.twitter.com/yRtFxlRyme",2017-08-22 22:54:00,2017-8-22
113359,1134,7.0,2.0,0.0,Wouldn't be awesome if Hurricane Harvey & Matt Harvey roared onto landfall at the same time? @MattHarvey33 #Mets,2017-08-22 12:09:00,2017-8-22
114868,1149,2.0,0.0,0.0,Hurricane Harvey grocery shopping just in case pic.twitter.com/SZjSIf058I,2017-08-22 22:34:00,2017-8-22
